Team,total_epa_estimate,total_epa_std,auto_epa_estimate,auto_epa_std,teleop_epa_estimate,teleop_epa_std,endgame_epa_estimate,endgame_epa_std,defensive_epa_estimate,defensive_epa_std,foul_epa_estimate,foul_epa_std,residual_epa_estimate,residual_epa_std,auto_exit_prob,auto_coral_l1_epa_estimate,auto_coral_l1_epa_std,auto_coral_l2_epa_estimate,auto_coral_l2_epa_std,auto_coral_l3_epa_estimate,auto_coral_l3_epa_std,auto_coral_l4_epa_estimate,auto_coral_l4_epa_std,teleop_coral_l1_epa_estimate,teleop_coral_l1_epa_std,teleop_coral_l2_epa_estimate,teleop_coral_l2_epa_std,teleop_coral_l3_epa_estimate,teleop_coral_l3_epa_std,teleop_coral_l4_epa_estimate,teleop_coral_l4_epa_std,teleop_processor_algae_epa_estimate,teleop_processor_algae_epa_std,teleop_net_algae_epa_estimate,teleop_net_algae_epa_std
frc6036,81.822059009942,8.073846399177592,23.210163883456048,4.6420327766912095,56.61189512648594,6.605946365028819,2.0,0.0,1.7270447028368145,0,1.0588235294117647,1.7120690159171041,1.6002340686420122,5.7895881818556125,1.0,1.8850572914947196e-07,0.1212678125181665,3.375497473991633e-07,0.1212678125181665,3.9622384309179455e-07,0.1212678125181665,2.8871656557709726,0.7217914139427432,0.7548043983715652,0.010705464160234329,3.349078453475569,0.010705464160234329,5.9124076607176965,0.010705464160234329,2.6733833943861587,0.010705464160234329,0.8785503873414728,0.010705464160234329,0.6918002576164225,0.010705464160234329
frc6191,N/A - No data available
frc6305,14.323806845423126,3.9169269453877447,2.7272738858020964,1.507556722888818,9.59653295962103,3.615188711917719,2.0,0.0,-8.522002860271208e-09,0,1.2727272727272725,1.2211782836127203,-1.5741393518514017,6.822224183737859,0.9090909090909091,8.082526245685931e-08,0.15075567228888181,8.083070640832021e-08,0.15075567228888181,4.912913233863232e-08,0.15075567228888181,4.256513749579312e-08,0.15075567228888181,0.1939398029555382,0.010705464160234329,0.8027615804677786,0.010705464160234329,0.9179435976066986,0.010705464160234329,5.43073166105774e-07,0.010705464160234329,0.5214318468582197,0.010705464160234329,1.0634116890215195e-07,0.010705464160234329
frc6657,20.996942038346734,6.883286492055322,2.766316785683731,1.4433756729740645,18.230625252663003,6.730252565719798,0,0,15.315934568619928,0,0.5000000000000001,0.8660254037844388,-2.827014078678712,6.647962651427674,0.9166666666666665,0.005438619850645092,0.14433756729740646,9.283279951088281e-08,0.14433756729740646,5.4987295119624696e-08,0.14433756729740646,3.212526109780308e-08,0.14433756729740646,1.3710887544329484,0.010705464160234329,0.7698833123534696,0.010705464160234329,8.206258160782309e-07,0.010705464160234329,0.8645744286191843,0.010705464160234329,1.3469373861518095,0.010705464160234329,0.19357451605666284,0.010705464160234329
frc6884,8.394272411310187,3.7136851709513743,0.499999848507107,1.4433756729740645,5.89427256280308,3.421713637289188,2.0,0.0,-9.683388431160416e-09,0,1.4444444444444446,1.8823415940108241,-1.0396517445521318,6.377107051865483,0.16666666666666666,-5.9701212688065026e-09,0.14433756729740646,-6.963753907271184e-09,0.14433756729740646,-7.961773473368066e-09,0.14433756729740646,-8.279553247587415e-09,0.14433756729740646,0.6301075109152833,0.010705464160234329,4.845083808759575e-08,0.010705464160234329,2.108321277483274e-08,0.010705464160234329,3.926646136960326e-08,0.010705464160234329,3.9141988821341886e-08,0.010705464160234329,1.158514220025727,0.010705464160234329
frc701,31.297007984655576,7.057485474848759,2.99999994031979,1.25,26.297008044335787,6.945905356949605,2.0,0.0,3.8922129937074894,0,0.7916666666666665,1.274073737618388,3.9743900721031222,5.748108355087364,1.0,2.0726999622370085e-09,0.125,-1.209733685029915e-09,0.125,-4.238335342590769e-09,0.125,-5.089908974520812e-09,0.125,0.9771977057047316,0.010705464160234329,0.3099102990039725,0.010705464160234329,1.6414267798992614,0.010705464160234329,3.3694347556058646,0.010705464160234329,9.825128702950408e-08,0.010705464160234329,6.219507881465221e-08,0.010705464160234329
frc751,18.490023526151784,7.9028972478204365,3.615371278943852,1.4433756729740645,12.874652247207933,7.7699711438508245,2.0,0.0,-9.372266402951941e-09,0,0.8888888888888892,1.257078722109418,-1.9959744288070906,6.516941694658111,0.9166666666666665,2.6605177982415456e-07,0.14433756729740646,2.2711817601529033e-07,0.14433756729740646,2.768928753732329e-07,0.14433756729740646,0.12362398727979383,0.14433756729740646,0.9730984892656567,0.010705464160234329,0.4376656790893317,0.010705464160234329,0.13886285427459433,0.010705464160234329,0.4779148974010716,0.010705464160234329,0.5470258256899092,0.010705464160234329,0.847069343291358,0.010705464160234329
frc7777,8.64862810809848,4.837029928137653,2.499999916026418,1.4433756729740645,4.148628192072062,4.616657361378037,2.0,0.0,-8.148872235790905e-09,0,2.666666666666666,2.3570226039551585,1.4202816172772381,6.381495100290861,0.8333333333333333,-1.3998967681081158e-10,0.14433756729740646,-2.623538216281585e-09,0.14433756729740646,-5.181505205801334e-09,0.14433756729740646,-5.995775531549021e-09,0.14433756729740646,0.6636587238380287,0.010705464160234329,4.62820803395944e-06,0.010705464160234329,5.535356722669324e-08,0.010705464160234329,0.08953385722376422,0.010705464160234329,0.3055942724480708,0.010705464160234329,0.13501542938759703,0.010705464160234329
frc8087,N/A - No data available
frc8585,N/A - No data available
frc8768,34.25854747699488,4.586468050632038,5.3800266790604585,1.0760053358120918,26.878520797934417,4.458464051304255,2.0,0.0,2.099513811223022,0,0.4358974358974359,1.0851335368973756,2.393571041320691,4.592789880504106,0.9807692307692307,0.16077982195148038,0.10206207261596577,0.15227974277820205,0.10206207261596577,0.04905387751735311,0.10206207261596577,0.15027675495448548,0.10206207261596577,0.7760668655048601,0.010705464160234329,1.2792516627507349,0.010705464160234329,3.0090307677323818,0.010705464160234329,0.9738793500333885,0.010705464160234329,0.49901079291743033,0.010705464160234329,0.39726187501786014,0.010705464160234329
frc8840,6.965572752713248,5.620549439735076,2.7272726745652807,1.507556722888818,2.2383000781479674,5.414595897366581,2.0,0.0,8.04877504756973,0,1.212121212121212,1.3278122606185845,5.249858742753681,6.787304967579444,0.9090909090909091,2.1852359073708213e-09,0.15075567228888181,-7.018495008335655e-10,0.15075567228888181,-3.743152589442079e-09,0.15075567228888181,-4.8566914837881055e-09,0.15075567228888181,0.4427740508013381,0.010705464160234329,8.748783672168988e-08,0.010705464160234329,3.248894533518697e-08,0.010705464160234329,2.9616777382921667e-08,0.010705464160234329,0.07414329719503586,0.010705464160234329,0.2269729132179745,0.010705464160234329
frc9084,58.53454181835501,7.514833491622129,17.257281065350963,3.451456213070193,39.27726075300405,6.675340621725966,2.0,0.0,3.6231377686675525,0,1.2564102564102566,2.126969057168255,-0.4938619843225833,4.664133525156237,1.0,1.609507960282839e-06,0.09805806756909202,0.03358276969475817,0.09805806756909202,5.225601851096018e-07,0.09805806756909202,2.0175631460981345,0.5043907865245336,0.29689345415309215,0.010705464160234329,1.1337555780961195,0.010705464160234329,3.2220320026711917,0.010705464160234329,2.6990981047339035,0.010705464160234329,0.35866181018671933,0.010705464160234329,1.6866544287337264,0.010705464160234329
frc9505,8.108461484634446,4.747525813353516,2.6784574907306884,1.5811388300841895,3.430003993903757,4.476494314578983,2.0,0.0,0.0428697997814275,0,8.133333333333333,14.951179812234813,6.022571427955047,7.155268381011464,0.5,0.018713829388695303,0.15811388300841897,0.029969718960519268,0.15811388300841897,0.0010216964113267874,0.15811388300841897,0.14232956403636637,0.15811388300841897,0.46136049931475853,0.010705464160234329,0.5064665851091605,0.010705464160234329,1.331762841732937e-07,0.010705464160234329,3.4611724034906516e-07,0.010705464160234329,0.1646466838708061,0.010705464160234329,2.1835764582611688e-07,0.010705464160234329
frc9584,38.72192523949774,7.271940603091106,6.812262688767658,1.3624525377535317,23.48109112215866,5.297703232891081,8.428571428571429,4.79157423749955,4.180192924243138,0,1.5714285714285714,2.262280670518039,-4.390891296757598,5.953818929957174,1.0,1.0266668775487564,0.2566667193871891,3.4558854292574795e-07,0.1336306209562122,5.203656863494423e-07,0.1336306209562122,0.10460822165329983,0.1336306209562122,3.0115852242807475,0.010705464160234329,0.3104135467863223,0.010705464160234329,1.5922738379895976e-07,0.010705464160234329,0.9072520276971842,0.010705464160234329,1.6307834848700418,0.010705464160234329,0.5514295871556227,0.010705464160234329
